Date,Year,Donor,Items,Value ($),Country,Continent,Regime
26/04/2014,2014,His Majesty Sultan Badlishah Almu'tasimu Billahi Muhibbuddin Tunaku Ahaj Abdul Halim Mu'adzam Shah Ibni Almarhum,"Three coin set, one silver with the face of the King, one silver with the face of the Queen, and one gold with the King and Queen together. Signed and framed photograph of the King and Queen of Malaysia. 10"" plate with images of the King and Queen of Malaysia. Book, title: The Return. 20"" sword with steel blade and grip of polished wood carved in the shape of water fowl, held in a sheath of gold and silver with encrusted gemstones. ",8117,Malaysia,Asia,Flawed Democracy
25/04/2014,2014,Her Excellency Park Geun-hye,"Painting on paper in colored powder and gold, title: “Harmonious and Peaceful World” depicting the sun, moon, and five mountain peaks representing the king. ",2200,Republic of Korea,Asia,Flawed Democracy
24/04/2014,2014,Their Majesties the Emperor and Empress of Japan,Flower pot painted with scene of dark gray mountain terrain. Signed framed photograph of the Emperor and Empress of Japan. ,2540,Japan,Asia,Flawed Democracy
15/04/2014,2014,Abdullah bin Abdulaziz Al-Saud,White gold men's wristwatch with leather band. ,67000,Saudi Arabia,Asia,Authoritarian
28/03/2014,2014,Abdullah bin Abdulaziz Al-Saud,"48"" gold-plated brass replica of the Makkah Clock Tower on marble base. ",57000,Saudi Arabia,Asia,Authoritarian
27/03/2014,2014,His Excellency Giorgio Napolitano,"Silver box inscribed with the signature of President Giorgio Napolitano. Speech by President Giorgio Napolitano, title: Messaggio Al Parlamento. ",985,Italy,Europe,Flawed Democracy
27/03/2014,2014,His Holiness Pope Francis,"6"" cast bronze medal depicting vines on ceramic stoneware with a Roman travertine finish. 8"" cast bronze medal depicting the Angel of Solidarity and Peace. Book, title: Miserando Atque Eligando. ",1015,Holy See,Europe,N.A.
27/03/2014,2014,His Eminence Cardinal Pietro Parolin,"29"" x 21"" folio of lithographs, title: Fontane Del Vaticano. Leather-bound book, title: Annuario Pontificio 2014. ",1707,Holy See,Europe,N.A.
24/03/2014,2014,His Excellency Mark Rutte,Two white tulip vases. Blue and white double gourd vase. ,730,Netherlands,Europe,Full Democracy
16/03/2014,2014,His Excellency Dr. Mahmoud Abbas,"Framed metallic disc plaque decorated with beads and stones. Framed tile art featuring red, purple, yellow, and white flowers on green vines. ",625,Palestine,Asia,Hybrid Regime
13/03/2014,2014,His Excellency Enda Kenny,"Scalloped rim crystal bowl in the shape of Ireland's Croagh Patrick Peak. DVD, title: Sustainability Starts Here. Book, title: My Irish Table. Silverware knife. ",1512,Ireland,Europe,Full Democracy
03/03/2014,2014,His Excellency Benjamin Netanyahu,Framed black and white photograph of the first American consulate in Jerusalem circa 1888. ,440,Israel,Asia,Flawed Democracy
03/03/2014,2014,His Excellency Iurie Leanca,Bottle of cognac. ,615,Moldova,Europe,Hybrid Regime
19/02/2014,2014,His Excellency Enrique Peña Nieto,"Book, title: Haciendas of the State of Mexico. Photo album of the North American Leaders' Summit (NALS). Framed and signed photograph of President Obama, the President of the United Mexican States, and the Prime Minister of Canada at NALS. One kilogram pure silver coin engraved with image of Frida Kahlo. Silver cufflinks with the Great Seal of the United States. 1' x 2' wool rug in an American Flag pattern. Sculpture of brightly colored flowers, animals, and people attached to clay base. ",3290,Mexico,North America,Flawed Democracy
09/02/2014,2014,His Excellency François Hollande,"Three bottles of wine. Special-edition six-book set, title: Memoires du Generale Lafayette. ",2906,France,Europe,Flawed Democracy
07/02/2014,2014,His Excellency Fumio Kishida,Green fountain pen with gold floral accents with an ink cartridge. ,1614,Japan,Asia,Flawed Democracy
06/02/2014,2014,His Excellency Michel Joseph Martelly,"Mahogany sculpture, title: Le Negre Marron depicting a man drinking from a water jug. ",500,Haiti,North America,Hybrid Regime
22/01/2014,2014,His Excellency Usama Al-Nujaifi,Metallic gold-tone vase with red gemstones. ,430,Iraq,Asia,Hybrid Regime
14/01/2014,2014,Abdullah bin Abdulaziz Al-Saud,Gold and silver men's wristwatch with leather band. ,18240,Saudi Arabia,Asia,Authoritarian
31/12/2013,2013,His Excellency Goodluck Jonathan,"17"" circular quilted table mat in yellow and white with three circular floor sitting mats of the same material and design. ",1800,Nigeria,Africa,Hybrid Regime
31/12/2013,2013,His Excellency Mohamed Bin Abdulla Al Rumaihi,"26"" tall glass, amber-colored sculpture depicting a falcon perched on a branch looking over its shoulder. ",10408,Qatar,Asia,Authoritarian
20/12/2013,2013,His Excellency Abdallah Baali,Six boxes of dates. Twelve bottles of wine. ,509,Algeria,Africa,Authoritarian
05/12/2013,2013,His Excellency Elin Suleymanov,"Large Azerbaijani rug with geometric designs of red, blue, and white in leather carrying bag. ",6560,Azerbaijan,Asia,Authoritarian
03/12/2013,2013,His Excellency Juan Manuel Santos Calderón,Walking stick with metal bird topper made from Colombian wood by Adriana Henricio. ,524,Colombia,South America,Flawed Democracy
03/12/2013,2013,His Excellency Ron Dermer,Cufflinks with etched menorah tablet. ,485,Israel,Asia,Flawed Democracy
20/11/2013,2013,Her Excellency Liu Yandong,"57.5"" × 61"" framed acrylic painting of President Obama and the First Lady. ",3100,China,Asia,Authoritarian
20/11/2013,2013,His Majesty Mohammed VI,"Poniard knife and gold sheath covered in green and red jewels. Visconti fountain pen with Declaration of Independence design, magnifying glass, and mini scroll in brown presentation box. ",3750,Morocco,Africa,Hybrid Regime
20/11/2013,2013,His Majesty Sultan Haji Hassanal Bolkiah Mu'izzaddin Waddaulah ibni Al-Marhum Sultan Haji Omar `Ali Saifuddien Sa'adul Khairi Waddien,"Large cream color storage trunk with wooden ribs, leather handles, and removable feet containing various items including a 6.5"" diameter polished sterling silver bowl, 8"" × 10"" silver picture frame, and three hardcover books, title: “Audubon's Birds of America,” “Botanica Magnifica,” and “San Francisco Then”. ",2262,Brunei Darussalam,Asia,Authoritarian
31/10/2013,2013,His Excellency Nawaz Sharif,"72"" × 48"" traditional Pakistani carpet with cream and white floral design. ",600,Pakistan,Asia,Hybrid Regime
31/10/2013,2013,His Excellency Nouri Al-Maliki,"15"" tall granite Hammurabi Obelisk on wooden stand with inlayed mother of pearl. ",900,Mali,Africa,Hybrid Regime
15/10/2013,2013,His Excellency Enrico Letta,"Three Aurora fountain pens in black case, one green, one red, and one white, each with 18K gold nib with plaque of flags of Italy and the European Union. Book, title: “Bibenda.” Case of wine with corkscrew. ",1273,Italy,Europe,Flawed Democracy
